Product Description,Type,Score
"smiths medical portex BLUselect, tracheostomy tube, labeled as follows:  
1) BLUSELECT 6.0, CUFFED, NON-FEN, 10/BX, Item Number 101/800/060CZ; 
2) BLUSELECT 7.0, CUFFED, NON-FEN, 10/BX, Item Number 101/800/070CZ; 
3) BLUSELECT 7.5, CUFFED, NON-FEN, 10/BX, Item Number 101/800/075CZ; 
4) BLUSELECT 8.0, CUFFED, NON-FEN, 10/BX, Item Number 101/800/080CZ; 
5) BLUSELECT 8.5, CUFFED, NON-FEN, 10/BX, Item Number 101/800/085CZ; 
6) BLUSELECT 9.0, CUFFED, NON-FEN, 10/BX, Item Number 101/800/090CZ; 
7) BLUSELECT 10.0, CUFFED, NON-FEN, 10/BX, Item Number 101/800/100CZ; 
8) BLUSELECT 6.0, CUFFED, FEN, 10/BX, Item Number 101/802/060CZ; 
9) BLUSELECT 7.0, CUFFED, FEN, 10/BX, Item Number 101/802/070CZ; 
10) BLUSELECT 7.5, CUFFED, FEN, 10/BX, Item Number 101/802/075CZ; 
11) BLUSELECT 8.0, CUFFED, FEN, 10/BX, Item Number 101/802/080CZ; 
12) BLUSELECT 8.5, CUFFED, FEN, 10/BX, Item Number 101/802/085CZ; 
13) BLUSELECT 9.0, CUFFED, FEN, 10/BX, Item Number 101/802/090CZ; 
14) BLUSELECT 10.0, CUFFED, FEN, 10/BX, Item Number 101/802/100CZ; 
15) BLUSELECT 6.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/060CZ; 
16) BLUSELECT 7.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/070CZ; 
17) BLUSELECT 7.5, CUFFED, NON-FEN, 1/EA, Item Number 101/810/075; 
18) BLUSELECT 7.5, CUFFED, NON-FEN, 1/EA, Item Number 101/810/075CZ; 
19) BLUSELECT 8.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/080; 
20) BLUSELECT 8.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/080CZ; 
21) BLUSELECT 8.5, CUFFED, NON-FEN, 1/EA, Item Number 101/810/085CZ; 
22) BLUSELECT 9.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/090CZ; 
23) BLUSELECT 10.0, CUFFED, NON-FEN, 1/EA, Item Number 101/810/100CZ; 
24) BLUSELECT 6.0, CUFFED, FEN, 1/EA, Item Number 101/812/060CZ; 
25) BLUSELECT 7.0, CUFFED, FEN, 1/EA, Item Number 101/812/070CZ; 
26) BLUSELECT 7.5, CUFFED, FEN, 1/EA, Item Number 101/812/075CZ; 
27) BLUSELECT 8.0, CUFFED, FEN, 1/EA, Item Number 101/812/080CZ; 
28) BLUSELECT 8.5, CUFFED, FEN, 1/EA, Item Number 101/812/085CZ; 
29) BLUSELECT 9.0, CUFFED, FEN, 1/EA, Item Number 101/812/090CZ; 
30) BLUSELECT 10.0, CUFFED, FEN, 1/EA, Item Number 101/812/100CZ; 
31) BLUSELECT 6.0, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/060; 
32) BLUSELECT 7.0, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/070; 
33) BLUSELECT 7.5, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/075; 
34) BLUSELECT 8.0, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/080; 
35) BLUSELECT 8.5, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/085; 
36) BLUSELECT 9.0, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/090; 
37) BLUSELECT 10.0, CUFFED, NON-FEN, W/WEDGE, 1/EA, Item Number 101/815/100; 
38) BLUSELECT 6.0, CUFFED, FEN, W/WEDGE AND DECAN CAP, 1/EA, Item Number 101/817/060; 
39) BLUSELECT 7.0, CUFFED, FEN, W/WEDGE AND DECAN CAP, 1/EA, Item Number 101/817/070; 
40) BLUSELECT 8.0, CUFFED, FEN, W/WEDGE AND DECAN CAP, 1/EA, Item Number 101/817/080; 
41) BLUSELECT 9.0, CUFFED, FEN, W/WEDGE AND DECAN CAP, 1/EA, Item Number 101/817/090; 
42) BLUSELECT 10.0, CUFFED, FEN, W/WEDGE AND DECAN CAP, 1/EA, Item Number 101/817/100; 
43) BLUSELECT 6.0, SUCTIONAID, CUFFED, NON-FEN,10/BX, Item Number 101/860/060CZ; 
44) BLUSELECT 7.0, SUCTIONAID, CUFFED, NON-FEN, 10/BX, Item Number 101/860/070CZ; 
45) BLUSELECT 7.5, SUCTIONAID, CUFFED, NON-FEN, 10/BX, Item Number 101/860/075CZ; 
46) BLUSELECT 8.0, SUCTIONAID, CUFFED, NON-FEN, 10/BX, Item Number 101/860/080CZ; 
47) BLUSELECT 8.5, SUCTIONAID, CUFFED, NON-FEN, 10/BX, Item Number 101/860/085CZ; 
48) BLUSELECT 9.0, SUCTIONAID, CUFFED, NON-FEN, 10/BX, Item Number 101/860/090CZ; 
49) BLUSELECT 10.0, SUCTIONAID, CUFFED, NON-FEN,10/BX, Item Number 101/860/100CZ; 
50) BLUSELECT 6.0, SUCTIONAID, CUFFED, NON-FEN, 1/EA, Item Number 101/870/060CZ; 
51) BLUSELECT 7.0, SUCTIONAID, CUFFED, NON-FEN, 1/EA, Item Number 101/870/070CZ; 
52) BLUSELECT 7.5, SUCTIONAID, CUFFED, NON-FEN, 1/EA, Item Number 101/870/075CZ; 
53) BLUSELECT 8.0, SUCTIONAID, CUFFED, NON-FEN, 1/EA, Item Number 101/870/0",Trachea Devices,1.0
"smiths medical portex BLUgriggs Percutaneous Dilation Procedural Trays with BLUselect tracheotomy tubes, labeled as follows:  
1) BLUgriggs Percutaneous Dilation Procedural Tray with forceps and 8.0mm BLUselect trach tube (drugs, US ONLY), Item Number 101/540/080; 
2) BLUgriggs Percutaneous Dilation Procedural Tray with forceps and 9.0mm BLUselect trach tube (drugs, US ONLY), Item Number 101/540/090; 
3) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 7.0mm BLUselect trach tube, Item Number 101/541/070; 
4) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 8.0mm BLUselect trach tube, Item Number 101/541/080; 
5) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 9.0mm  BLUselect trach tube, Item Number 101/541/090; 
6) BLUgriggs Percutaneous Dilation Procedural Kit with 7.0mm BLUselect trach tube, no forceps, Item Number 101/543/070; 
7) BLUgriggs Percutaneous Dilation Procedural Kit with 8.0mm BLUselect trach tube, no forceps, Item Number 101/543/080; 
8) BLUgriggs Percutaneous Dilation Procedural Kit with 9.0mm BLUselect trach tube, no forceps, Item Number 101/543/090; 
9) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 7.0mm  BLUselect SuctionAid trach tube, Item Number 101/891/070; 
10) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 8.0mm  BLUselect SuctionAid trach tube, Item Number 101/891/080; 
11) BLUgriggs Percutaneous Dilation Procedural Kit with forceps and 9.0mm  BLUselect SuctionAid trach tube, Item Number 101/891/090; 
12) BLUgriggs Percutaneous Dilation Procedural Tray with forceps and 7.0mm  BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/892/070; 
13) BLUgriggs Percutaneous Dilation Procedural Tray with forceps and 8.0mm  BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/892/080; 
14) BLUgriggs Percutaneous Dilation Procedural Tray with forceps and 9.0mm  BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/892/090; 
15) BLUgriggs Percutaneous Dilation Procedural Kit with 7.0mm BLUselect SuctionAid trach tube, no forceps, Item Number 101/893/070; 
16) BLUgriggs Percutaneous Dilation Procedural Kit with 8.0mm BLUselect SuctionAid trach tube, no forceps, Item Number 101/893/080; 
17) BLUgriggs Percutaneous Dilation Procedural Kit with 9.0mm BLUselect SuctionAid trach tube, no forceps, Item Number 101/893/090",Trachea Devices,1.0
"smiths medical portex BLUperc Percutaneous Diliation Procedural Trays with BLUselect tracheostomy tubes, labeled as follows:  
1) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 7.0 mm BLUselect trach tube, Item Number 101/561/070; 
2) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 8.0 mm BLUselect trach tube, Item Number 101/561/080; 
3) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 9.0 mm BLUselect trach tube, Item Number 101/561/090; 
4) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 7.0 mm BLUselect SuctionAid trach tube, Item Number 101/563/070; 
5) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 8.0 mm BLUselect SuctionAid trach tube, Item Number 101/563/080; 
6) BLUperc Percutaneous Dilation Procedural Kit with Single Stage Dilator and 9.0 mm BLUselect SuctionAid trach tube, Item Number 101/563/090; 
7) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 7.0 mm BLUselect trach tube (drugs, US ONLY), Item Number 101/595/070; 
8) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 8.0 mm BLUselect trach tube (drugs, US ONLY), Item Number 101/595/080; 
9) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 9.0 mm BLUselect trach tube (drugs, US ONLY), Item Number 101/595/090; 
10) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 7.0 mm BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/596/070; 
11) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 8.0 mm BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/596/080; 
12) BLUperc Percutaneous Dilation Procedural Tray with Single Stage Dilator and 9.0 mm BLUselect SuctionAid trach tube (drugs, US ONLY), Item Number 101/596/090
",Trachea Devices,1.0
"Pneupac paraPAC plus 300 ventilator kit, REF P300NXX",Ventilation and Respiratory Devices,1.0
"Pneupac paraPAC plus 310 ventilator kit with PEEP and CPAP, REF P310NXX",Ventilation and Respiratory Devices,1.0
"Blood Pressure Module BPM3 TM-2917B (Spare Part Numbers 191378 or 191389) with firmware version S005 installed in 2008 Series Hemodialysis Machines with Part Numbers 190573, 190713, 190766, 190858, 190895, 190908, 191124, 191126, 191128, and 191130",Blood Pumps,0.6727919578552246
"Atellica IM CA 19-9 (50 Test)-In vitro diagnostic use in the quantitative measurement of the CA 19-9 tumor-associated antigen in human serum using the Atellica CI and Atellica IM Analyzers
SMN: 10995490
",Blood Pumps,0.7350862622261047
"Atellica IM CA 19-9 (250 Test)- In vitro diagnostic use in the quantitative measurement of the CA 19-9 tumor-associated antigen in human serum using the Atellica CI and Atellica IM Analyzers
 
SMN:10995489
",Blood Pumps,0.7481436729431152
"Atellica IM CA 19-9 (250 Test - REF)-In vitro diagnostic use in the quantitative measurement of the CA 19-9 tumor-associated antigen in human serum using the Atellica CI and Atellica IM Analyzers
 
SMN: 11206239",Blood Pumps,0.723983645439148
"ADVIA Centaur CA 19-9 (50 Test)-In vitro diagnostic use in the quantitative measurement of the CA 19-9 tumor-associated antigen in human serum using the Atellica CI and Atellica IM Analyzers
SMN: 10491379

 
SMN: 11206239",Blood Pumps,0.7345063090324402
"ADVIA Centaur CA 19-9 (250 Test)-In vitro diagnostic use in the quantitative measurement of the CA 19-9 tumor-associated antigen in human serum using the Atellica CI and Atellica IM Analyzers

SMN: 10491244

 
",Blood Pumps,0.7487940788269043
"FILMARRAY 2.0 INSTRUMENT, REF: FLM2-ASY-0001, FLM2-ASY-0001-W

",Anesthesia Equipment,0.6665774583816528
"FILMARRAY TORCH MODULE BOX, HTFA-ASY-0003, HTFA-ASY-0003-W, HTFA-ASY-0003U	

",Other,0.4448721408843994
"Medline Semi-rigid suction liners labeled as follows:
a) SEMI RIGID SUCTION LINER, REF OR515; 
b) SEMI RIGID SUCTION LINER WITH TUBING, REF OR526K; 
c) SEMI RIGID SUCTION LINER WITH TUBING, REF OR527K; 
d) SEMI RIGID SUCTION LINER WITH TUBING, REF OR529K",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) ANESTHESIA CIRCUIT-LF, Pack Number DYNJAA0311C; 
b) ANESTHESIA CIRCUIT-LF, Pack Number DYNJAA0323C; 
c) ANESTHESIA CIRCUIT ADULT, Pack Number DYNJAA0378A; 
d) ADULT ANESTHESIA CIRC LAGUNA, Pack Number DYNJAA10579; 
e) BREATHING CIRCUIT # 34827, Pack Number DYNJAAF6674I",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  
a) OPEN HEART KIT,ALTA BATES HOSP, Pack Number DYK1002174I; 
b) ENDO KIT, Pack Number DYKE1558B; 
c) ENDO KIT, Pack Number DYKE1804A; 
d) VASCULAR-LF, Pack Number DYNJ900714C; 
e) MAJOR CARDIOVASC ADULT, Pack Number DYNJ905472B; 
f) AV FISTULA, Pack Number DYNJ908096A
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  DENTAL,  Pack Number DYNJ909451A

",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) BAPTIST FLOYD BRONCHOSCOPY, Pack Number DYKE1456D; 
b) ENT MINOR, Pack Number DYNJ908099B; 
c) HEAD & NECK, Pack Number DYNJ908101B; 
d) NASAL FESS, Pack Number DYNJ908105B; 
e) NASAL-LF, Pack Number DYNJ908429; 
f) MASTOPEXY-CANNOVA, Pack Number DYNJ909948 
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) MINOR PROCEDURE, Pack Number CDS981509C; 
b) GENERAL LAPAROSCOPY CDS, Pack Number CDS981512J; 
c) OR MAJOR CDS, Pack Number CDS981515D; 
d) MAJOR-LF, Pack Number DYNJ900709C; 
e) MAJOR-LF, Pack Number DYNJ900709D; 
f) GENERAL LAPAROSCOPY-LF, Pack Number DYNJ900723C; 
g) GENERAL LAPAROSCOPY-LF, Pack Number DYNJ900723D; 
h) CYSTO, Pack Number DYNJ908098A; 
i) MINOR LAPAROTOMY, Pack Number DYNJ908428; 
j) MERCY TIFFIN BASIC LAP-LF, Pack Number DYNJ909730",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) ENDO BRONCH PACK, Pack Number DYKE1355; 
b) ENDO BASIC KIT, Pack Number DYKE1356; 
c) ENDOSCOPY KIT, Pack Number DYKE1771C",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) ENDO KIT, Pack Number DYKE1350D; 
b) ENDO KIT, Pack Number DYKE1514B
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  
a) MINOR BREAST, Pack Number DYNJ908104B; 
b) PLASTIC MAJOR, Pack Number DYNJ908106B; 
c) ABDOMINOPLASTY W/LIPO SUCTION, Pack Number DYNJ909946; 
d) PLASTIC, Pack Number DYNJ909951 
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a)  ENDO KIT, Pack Number DYKE1092B; 
b) VIDEO BRONCHOSCOPY TRAY, Pack Number DYKE1666; 
c) SUCTION CANISTER KIT, Pack Number DYKM2196; 
d) SUCTION CANISTER KIT, Pack Number DYKM2196H; 
e) BRONCH LAB PACK-LF, Pack Number DYNJ24810B; 
f) THORACIC, Pack Number DYNJ907991F; 
g) RECTAL, Pack Number DYNJ908108A; 
h) ROBOTIC, Pack Number DYNJ908109C; 
i) CERVICAL, Pack Number DYNJ908748D; 
j) LAMI, Pack Number DYNJ908750D; 
k) MERCY TIFFIN BASIC-LF, Pack Number DYNJ909731; 
l) MERCY TIFFIN LITHOTOMY, Pack Number DYNJ909735; 
m) BASIC GENERAL SET UP, Pack Number DYNJ909945; 
n) BASIC GENERAL SET UP, Pack Number DYNJ909945A; 
o) AMB OCULOPLASTICS MUSC, Pack Number DYNJ910289; 
p) AMB OCULOPLASTICS MUSC, Pack Number DYNJ910289H; 
q) MTHZ TOTAL HIP, Pack Number DYNJC9311M; 
r) BRONCH KIT, Pack Number P906877",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  NICU ADMIT KIT, Pack Number DYKA1014G
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  ANES TURNOVER KIT-LF, Pack Number DYNJAA10338J


",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows: KIT NEURO SHUNT ST LOUIS CHILD, Pack Number DYNJ907829B

",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
MTHZ GYN LAPAROSCOPY, Pack Number DYNJ909739
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  MERCY TIFFIN C-SECTION, Pack Number DYNJ909732

",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:  
a) AMB VITRECTOMY, Pack Number DYNJ59921B; 
b) AMB VITRECTOMY, Pack Number DYNJ59921BH; 
c) AMB OCULOPLASTICS MUSC, Pack Number DYNJ59923B; 
d) AMB OCULOPLASTICS MUSC, Pack Number DYNJ59923BH; 
e) AMB CUSTOM EYE, Pack Number DYNJ59924B; 
f) AMB CUSTOM EYE, Pack Number DYNJ59924BH; 
g) CATARACT-30843, Pack Number DYNJVB91139 
",Surgery Procedure Kits,1.0
"Medline convenience kits containing semi-rigid suction liners labeled as follows:
a) LAMINECTOMY CDS, Pack Number CDS981510L; 
b) ORTHO TRAUMA-LF, Pack Number DYNJ900720D; 
c) ORTHO TRAUMA-LF, Pack Number DYNJ900720F; 
d) KNEE ARTHROSCOPY, Pack Number DYNJ908090C; 
e) LAMINECTOMY, Pack Number DYNJ908091B; 
f) PODIATRY, Pack Number DYNJ908092C; 
g) ANTERIOR TOTAL HIP, Pack Number DYNJ908095B; 
h) CRANI, Pack Number DYNJ908097A; 
i) HIP PINNING, Pack Number DYNJ908102B; 
j) (76) LOWER EXTREMITY, Pack Number DYNJ908103B; 
k) SHOULDER ARTHROSCOPY, Pack Number DYNJ908110B; 
m) HAND-LF, Pack Number DYNJ908425; 
n) TOTAL JOINT, Pack Number DYNJ908660A; 
o) MERCY TIFFIN HAND, Pack Number DYNJ909734; 
p) MERCY TIFFIN TOTAL KNEE, Pack Number DYNJ909738; 
q) MTHZ KNEE ARTHROSCOPY, Pack Number DYNJ909740; 
r) ACL-WHSC, Pack Number DYNJ910074A; 
s) EXTREMITY-WHSC, Pack Number DYNJ910077; 
t) EXTREMITY-WHSC, Pack Number DYNJ910077A; 
u) KNEE ARTHROSCOPY-WHSC, Pack Number DYNJ910080A; 
v) MICRODISC, Pack Number DYNJ910370; 
w) MTHZ TOTAL HIP, Pack Number DYNJC9311L",Surgery Procedure Kits,1.0
"Spacelabs Ultraview DM3 Vital Signs Monitor (all variations -M, -MT, -N, -NT), Model Number 91330",Other,0.5999309420585632
"Spacelabs Ultraview DM4 Vital Signs Monitor (all variations -M, -N, -MF, -NF, -MW, -NW, -MFW, -NFW), Model Number 91331",Other,0.5761882662773132
"25-LHP-828, HeNe Laser System, 35 mW",Other,0.4905356764793396
"25-LHP-928, HeNe Laser System, 25 mW",Other,0.4905356764793396
"N-LHP-928, HeNe Laser System, 35 mW",Anesthesia Equipment,0.6127976179122925
"Medline ReNewal Reprocessed Covidien LigaSure Blunt Tip, Sealer/Divider, Nano-Coated, Compatible w/ FT10 37cm FT10 SW Version 4.0.1.15 or lower. Item Number: LF1837CR.",Surgery Procedure Kits,1.0
"Medline ReNewal Reprocessed Covidien LigaSure Maryland Jaw Sealer/Divider, Nano-Coated, Compatible w/ FT10 37 cm FT10 SW Version 4.0.1.15 or lower.  Item Number: LF1937CR.",Surgery Procedure Kits,1.0
"Medline ReNewal Reprocessed Covidien LigaSure Impact, Sealer/Divider, Nano-Coated, Compatible w/ FT10 18cm FT10 SW Version 4.0.1.15 or lower.  Item Number: LF4418CR.",Surgery Procedure Kits,1.0
Medline ReNewal Reprocessed Ethicon Harmonic ACE+7 Shears w/ Adv. Hemostasis Use Only w/GEN11 SW v2018-1 and Lower 5mm x 36cm.  Item Number: HARH36R.,Surgery Procedure Kits,1.0
"IBA Proton Therapy System - PROTEUS 235 ProteusPLUS and ProteusONE

Software versions: PTS-8 versions, PTS-10 versions, PTS-11 versions, and PTS-12 versions",Infusion Pumps,0.6579717993736267
"ROTATION MEDICAL TENDON STAPLES (8) (broad indication)-Intended for fixation of prosthetic material to soft tissues.
Product Number: 2504-1",Blood Pumps,0.6576096415519714
"ROTATION MEDICAL TENDON STAPLES (8)  (narrow indication)-Intended for fixation of prosthetic material to soft tissues.
Product Number: 72205201",Blood Pumps,0.6971163749694824
"Infusomat Space Infusion System/ Large Volume Pump, Product Code 8713050U",Infusion Pumps,1.0
Dimension Vista¿ Total Bilirubin (TBIL) Flex Reagent Cartridge; Siemens Material Number (SMN): 10445146;,Anesthesia Equipment,0.6987072825431824
"Medtronic  Handset with Communicator, Model TH90Q01, InterStim Smart Programmer and Communicator Kits, containing the Model  HH90  Handset and the TM90 Communicator.
",Other,0.5845240950584412
"Syringes with Fixed Needles labeled as:  
a) SOL-M:
 1) SOL-M 1ml TB Syringe w/Fixed Needle 25G*5/8'', Model No. 181025, UPC 818392014884; 
 2) SOL-M 3ml Luer Lock Syringe w/Blunt Fill Needle 18G*1 1/2'', Model No. 1831815B, UPC 818392011593; 
 3) SOL-M 5ml Luer Lock Syringe w/Blunt Fill Needle 18G*1 1/2'', Model No. 1851815B, UPC 818392011609; 
 4) SOL-M 10ml Luer Lock Syringe w/Blunt Fill Needle 18G*1 1/2'', Model No. 1811815B, UPC 818392011616;",Syringe Equipment,1.0
